run_id,map_type,map_name,map_size,obstacle_ratio,task_id,start,goal,optimal_length,algorithm,success,path_length,turn_count,expanded_nodes,runtime_ms,collision_free
exp_v1_rerun,dao,arena,49x49,0.1445,20,"2,3","9,10",9.899495,ablation_no_adapt,True,9.899495,0,8,0.1001,True
exp_v1_rerun,dao,arena,49x49,0.1445,20,"2,3","9,10",9.899495,ablation_no_smooth,True,9.899495,0,8,0.1493,True
exp_v1_rerun,dao,arena,49x49,0.1445,21,"22,22","24,11",11.828427,dijkstra,True,11.828427,2,364,2.3229,True
exp_v1_rerun,dao,arena,49x49,0.1445,21,"22,22","24,11",11.828427,astar_euclidean,True,11.828427,2,23,0.1718,True
exp_v1_rerun,dao,arena,49x49,0.1445,21,"22,22","24,11",11.828427,astar_octile,True,11.828427,2,18,0.1697,True
exp_v1_rerun,dao,arena,49x49,0.1445,21,"22,22","24,11",11.828427,weighted_1.2,True,11.828427,1,12,0.1134,True
exp_v1_rerun,dao,arena,49x49,0.1445,21,"22,22","24,11",11.828427,improved_ours,True,11.180340,0,12,0.2088,True
exp_v1_rerun,dao,arena,49x49,0.1445,21,"22,22","24,11",11.828427,ablation_no_adapt,True,11.180340,0,18,0.1612,True
exp_v1_rerun,dao,arena,49x49,0.1445,21,"22,22","24,11",11.828427,ablation_no_smooth,True,11.828427,1,12,0.1879,True
exp_v1_rerun,dao,arena,49x49,0.1445,22,"19,32","11,31",10.414214,dijkstra,True,10.414214,2,266,1.6607,True
exp_v1_rerun,dao,arena,49x49,0.1445,22,"19,32","11,31",10.414214,astar_euclidean,True,10.414214,2,13,0.0906,True
exp_v1_rerun,dao,arena,49x49,0.1445,22,"19,32","11,31",10.414214,astar_octile,True,10.414214,2,12,0.0921,True
exp_v1_rerun,dao,arena,49x49,0.1445,22,"19,32","11,31",10.414214,weighted_1.2,True,10.414214,3,12,0.0898,True
exp_v1_rerun,dao,arena,49x49,0.1445,22,"19,32","11,31",10.414214,improved_ours,True,9.398346,2,12,0.1612,True
exp_v1_rerun,dao,arena,49x49,0.1445,22,"19,32","11,31",10.414214,ablation_no_adapt,True,9.307136,1,12,0.0934,True
exp_v1_rerun,dao,arena,49x49,0.1445,22,"19,32","11,31",10.414214,ablation_no_smooth,True,10.414214,3,12,0.1534,True
exp_v1_rerun,dao,arena,49x49,0.1445,23,"45,15","42,7",9.242641,dijkstra,True,9.242641,2,154,0.8993,True
exp_v1_rerun,dao,arena,49x49,0.1445,23,"45,15","42,7",9.242641,astar_euclidean,True,9.242641,4,18,0.1399,True
exp_v1_rerun,dao,arena,49x49,0.1445,23,"45,15","42,7",9.242641,astar_octile,True,9.242641,3,9,0.0867,True
exp_v1_rerun,dao,arena,49x49,0.1445,23,"45,15","42,7",9.242641,weighted_1.2,True,9.242641,1,9,0.1042,True
exp_v1_rerun,dao,arena,49x49,0.1445,23,"45,15","42,7",9.242641,improved_ours,True,8.544004,0,9,0.1638,True
exp_v1_rerun,dao,arena,49x49,0.1445,23,"45,15","42,7",9.242641,ablation_no_adapt,True,8.544004,0,9,0.0991,True
exp_v1_rerun,dao,arena,49x49,0.1445,23,"45,15","42,7",9.242641,ablation_no_smooth,True,9.242641,3,9,0.1463,True
exp_v1_rerun,dao,arena,49x49,0.1445,24,"28,31","29,41",10.414214,dijkstra,True,10.414214,1,280,1.7224,True
exp_v1_rerun,dao,arena,49x49,0.1445,24,"28,31","29,41",10.414214,astar_euclidean,True,10.414214,1,20,0.1640,True
exp_v1_rerun,dao,arena,49x49,0.1445,24,"28,31","29,41",10.414214,astar_octile,True,10.414214,1,20,0.2109,True
exp_v1_rerun,dao,arena,49x49,0.1445,24,"28,31","29,41",10.414214,weighted_1.2,True,10.414214,1,11,0.1071,True
exp_v1_rerun,dao,arena,49x49,0.1445,24,"28,31","29,41",10.414214,improved_ours,True,10.049876,0,11,0.1814,True
